token_address,name,symbol,from,to,value_normalized
ETH,Ether,ETH,0xAf343cD2B131E0532264E0D4872C52F874523117,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0.004
ETH,Ether,ETH,0x3fC91A3afd70395Cd496C647d5a6CC9D4B2b7FAD,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0.004
