depth,from,to,call_type,function,gas_allocated,gas_used,gas_remaining,tx_gas_price,block_base_fee
0,0x28c6c06298d514db089934071355e5743bf21d60,0xee7ae85f2fe2239e27d9c1e23fffe168d63b4055,call,execute,184568,73823,110745,726397488,526397488
1,0xee7ae85f2fe2239e27d9c1e23fffe168d63b4055,0xd206ac7fef53d83ed4563e770b28dba90d0d9ec8,delegatecall,execute,176925,68947,107978,726397488,526397488
2,0xee7ae85f2fe2239e27d9c1e23fffe168d63b4055,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,staticcall,pizza_mandate_apology,30000,7524,22476,726397488,526397488
3,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x43506849d7c04f9138d1a2050bbf3a0c054402dd,delegatecall,pizza_mandate_apology,22403,240,22163,726397488,526397488
2,0xee7ae85f2fe2239e27d9c1e23fffe168d63b4055,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,call,transfer,146743,40652,106091,726397488,526397488
3,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x43506849d7c04f9138d1a2050bbf3a0c054402dd,delegatecall,transfer,137319,33363,103956,726397488,526397488
