depth,from,to,call_type,function,gas_allocated,gas_used,gas_remaining
5,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,staticcall,Unresolved_f5996fe4,2007802,3405,2004397
6,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,0x28cd26607b09f6a2c89c1ec02cc5ec9b25cb0257,staticcall,implementation,1976191,308,1975883
6,0x7cbbe5d46146e69cd09d26f317ebadd324fc3e9d,0x7c9c6c832a94511586c52561fce8cfc9db88f91b,delegatecall,Unresolved_f5996fe4,1975528,2447,1973081
5,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0xca1154bbd62c21868a358f9f782b90d69af600b0,staticcall,balanceOf,1999463,2644,1996819
5,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x440daf974bf6c97e9442fffd022ca554ee94219c,call,Unresolved_83e4b89f,1993748,131807,1861941
6,0x440daf974bf6c97e9442fffd022ca554ee94219c,0xca1154bbd62c21868a358f9f782b90d69af600b0,staticcall,balanceOf,1961789,644,1961145
6,0x440daf974bf6c97e9442fffd022ca554ee94219c,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,call,transferFrom,1960549,30213,1930336
7,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x1e45673d425a0e9b27e6688bbec53ea9f22f2d8a,staticcall,implementation,1929677,308,1929369
7,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,delegatecall,transferFrom,1929004,29246,1899758
6,0x440daf974bf6c97e9442fffd022ca554ee94219c,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,staticcall,allowance,1930134,3773,1926361
7,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x1e45673d425a0e9b27e6688bbec53ea9f22f2d8a,staticcall,implementation,1899737,308,1899429
7,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,delegatecall,allowance,1899068,2809,1896259
6,0x440daf974bf6c97e9442fffd022ca554ee94219c,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,call,approve,1925835,23727,1902108
7,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x1e45673d425a0e9b27e6688bbec53ea9f22f2d8a,staticcall,implementation,1895505,308,1895197
7,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,delegatecall,approve,1894836,22763,1872073
6,0x440daf974bf6c97e9442fffd022ca554ee94219c,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,call,Unresolved_5c11d795,1899080,66080,1833000
7,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,call,transferFrom,1867320,9113,1858207
8,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x1e45673d425a0e9b27e6688bbec53ea9f22f2d8a,staticcall,implementation,1837904,308,1837596
8,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,delegatecall,transferFrom,1837232,8146,1829086
7,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0xca1154bbd62c21868a358f9f782b90d69af600b0,staticcall,balanceOf,1857696,644,1857052
7,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x1899ad7268e4e76d21b6a04061e17cec847a111b,staticcall,getReserves,1855535,2504,1853031
7,0x7a250d5630b4cf539739df2c5dacb4c659f2488d,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,staticcall,balanceOf,1852559,1663,1850896
8,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x1e45673d425a0e9b27e6688bbec53ea9f22f2d8a,staticcall,implementation,1823374,308,1823066
8,0x82788c99bd80ad2d7bba1fb12b0eac97ccf2e91f,0x50d2acb0d9ee43c39dcf7cf694e94a0f9187491a,delegatecall,balanceOf,1822708,702,1822006
