depth,from,to,call_type,function
0,0x37305b1cd40574e4c5ce33f8e8306be057fd7341,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,CALL,transfer
3,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x43506849d7c04f9138d1a2050bbf3a0c054402dd,DELEGATECALL,transfer
